year,private_education_total_100m_krw,private_education_total_trillion_krw,monthly_private_education_10k_krw,private_education_participation_rate,weekly_private_education_hours,monthly_private_education_krw,private_education_total_trillion_krw_index_2007_100,monthly_private_education_10k_krw_index_2007_100,private_education_participation_rate_index_2007_100,weekly_private_education_hours_index_2007_100,school_age_proxy_0_14,school_age_proxy_0_14_index_2007_100
2007,200400.0,20.04,22.2,77.0,7.8,222000.0,100.0,100.0,100.0,100.0,8714371.202,100.0
2008,209095.0,20.91,23.3,75.1,7.6,233000.0,104.34,104.95,97.53,97.44,8486464.484,97.38
2009,216259.0,21.626,24.2,75.0,7.3910080077,242000.0,107.91,109.01,97.4,94.76,8234408.445,94.49
2010,208718.0,20.872,24.0,73.6,7.0,240000.0,104.15,108.11,95.58,89.74,7978212.032000001,91.55
2011,201266.0,20.127,24.0,71.7,6.6,240000.0,100.43,108.11,93.12,84.62,7790115.528,89.39
2012,190395.0,19.04,23.6,69.4,6.0,236000.0,95.01,106.31,90.13,76.92,7580177.802999999,86.98
2013,185960.0,18.596,23.9,68.8,5.9,239000.0,92.79,107.66,89.35,75.64,7413047.270999999,85.07
2014,182296.9155354952,18.23,24.1678521655,68.5872039138,5.8086786088,241679.0,90.97,108.86,89.07,74.47,7206025.578,82.69
2015,178345.71623,17.835,24.40888,68.79003,5.72723,244089.0,89.0,109.95,89.34,73.43,7040062.686000001,80.79
2016,180605.6797,18.061,25.5839,67.76887,6.01782,255839.0,90.12,115.24,88.01,77.15,6863185.602000001,78.76
2017,186702.69197,18.67,27.17529,71.17437,6.07146,271753.0,93.16,122.41,92.43,77.84,6728410.341,77.21
2018,194851.84788,19.485,29.0776,72.83673,6.17486,290776.0,97.23,130.98,94.59,79.16,6602887.424000001,75.77
2019,209969.70057,20.997,32.08894,74.76283,6.51172,320889.0,104.78,144.54,97.09,83.48,6470602.75,74.25
2020,193532.13594,19.353,30.16282,67.08376,5.26664,301628.0,96.57,135.87,87.12,67.52,6324021.158,72.57
2021,234158.3893,23.416,36.65776,75.51933,6.74277,366578.0,116.85,165.13,98.08,86.45,6160575.141,70.69
2022,259537.9349,25.954,41.00083,78.28761,7.21097,410008.0,129.51,184.69,101.67,92.45,5942345.435,68.19
2023,271143.86865,27.114,43.37723,78.50704,7.2776,433772.0,135.3,195.39,101.96,93.3,5688388.09,65.28
2024,291919.23905,29.192,47.40938,80.0215,7.5549,474094.0,145.67,213.56,103.92,96.86,5485612.89,62.95
2025,275350.55759,27.535,45.75167,75.74012,7.14224,457517.0,137.4,206.09,98.36,91.57,5271825.528,60.5
